l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
4.0,4.0,8.0,1024.0,2.0,16.0,1120.5,67.584,1188.084,1.468394328,225.27471546240002
4.0,8.0,2.0,512.0,1.0,16.0,616.25,12.288,628.538,1.5643753679999999,124.5015002944
4.0,16.0,4.0,256.0,1.0,16.0,432.25,10.24,442.49,1.646945584,87.76755646720001
8.0,1.0,4.0,128.0,1.0,32.0,216.25,2.3040000000000003,218.554,1.558655950882688,44.49692476070615
2.0,32.0,2.0,512.0,8.0,16.0,794.0,43.008,837.008,1.5863078948273843,160.06904631586193
8.0,1.0,1.0,16.0,1.0,64.0,92.25,0.0,92.25,1.932971518134057,19.996377214507245
2.0,4.0,2.0,512.0,8.0,16.0,570.0,14.336,584.336,1.60512499078975,115.2840999926318
16.0,16.0,2.0,64.0,2.0,512.0,328.5,1.1520000000000001,329.652,1.414858023170284,66.83188641853623
128.0,128.0,1.0,512.0,8.0,32.0,2566.0,4.096,2570.096,1.255301272,514.2042410176
4.0,4.0,2.0,64.0,8.0,16.0,138.0,9.216000000000001,147.216,1.758865744,29.0070925952
4.0,4.0,1.0,64.0,1.0,16.0,132.25,0.0,132.25,9.630649687636614,34.154519750109294
4.0,8.0,4.0,1024.0,8.0,16.0,1138.0,22.528,1160.528,1.462533392,228.77002671360003
4.0,16.0,4.0,512.0,2.0,16.0,688.5,43.008,731.508,1.552769104,138.94221528320003
1.0,1.0,1.0,128.0,4.0,64.0,149.0,1.024,150.024,1.589225494821549,31.07138039585724
4.0,16.0,2.0,256.0,2.0,16.0,424.5,36.864000000000004,461.36400000000003,1.6403994960000001,86.2123195968
128.0,128.0,8.0,512.0,4.0,32.0,2593.0,40.96,2633.96,1.250740248,519.6005921984
128.0,1.0,1.0,1024.0,1.0,32.0,2060.25,0.0,2060.25,1.3359798153280404,413.1187838522624
128.0,1.0,4.0,1024.0,1.0,32.0,2072.25,33.024,2105.274,1.245101959509796,415.4460815676079
4.0,8.0,2.0,256.0,4.0,16.0,361.0,20.48,381.48,1.6418515280000001,73.5134812224
8.0,1.0,4.0,1024.0,4.0,32.0,1113.0,18.688000000000002,1131.688,1.2965257114069486,223.6372205691256
128.0,128.0,1.0,512.0,4.0,32.0,2565.0,8.192,2573.192,1.253752312,514.0030018496
128.0,128.0,1.0,512.0,1.0,32.0,2564.25,0.0,2564.25,1.256036632,513.8548293056
4.0,4.0,4.0,64.0,8.0,16.0,146.0,5.12,151.12,1.755410696,30.604328556800002
128.0,128.0,2.0,256.0,2.0,16.0,2312.5,278.528,2591.0280000000002,1.462332088,463.6698656704
4.0,8.0,1.0,64.0,1.0,16.0,164.25,0.0,164.25,1.822042728,34.3076341824
1.0,8.0,4.0,128.0,4.0,32.0,217.0,4.352,221.352,1.5968411188063176,44.67747289504506
4.0,16.0,2.0,1024.0,1.0,16.0,1192.25,20.48,1212.73,1.4950674959999999,239.64605399680002
4.0,16.0,1.0,256.0,2.0,16.0,420.5,16.384,436.884,1.6437454,85.41499632000001
4.0,8.0,1.0,512.0,1.0,16.0,612.25,0.0,612.25,1.573019688,123.70841575040001
4.0,2.0,2.0,512.0,2.0,16.0,568.5,38.912,607.412,1.5834222388331556,114.96673779106652
128.0,128.0,1.0,1024.0,1.0,64.0,3076.25,0.0,3076.25,1.1701985684177465,616.1861588547342
4.0,8.0,4.0,512.0,8.0,16.0,626.0,14.336,640.336,1.565099952,126.4520799616
4.0,4.0,8.0,256.0,2.0,16.0,352.5,18.432000000000002,370.932,1.648768248,71.8190145984
4.0,8.0,2.0,64.0,2.0,16.0,168.5,16.384,184.88400000000001,1.776557288,35.1212458304
4.0,8.0,2.0,64.0,1.0,16.0,168.25,12.288,180.538,1.805308008,35.094246406399996
128.0,128.0,8.0,512.0,8.0,32.0,2594.0,36.864000000000004,2630.864,1.251696408,519.8013571264
128.0,128.0,2.0,256.0,2.0,32.0,2312.5,139.264,2451.764,1.32926212,463.563409696
1.0,8.0,1.0,1024.0,4.0,64.0,1101.0,8.192,1109.192,1.238894495522211,221.19111559641777
