l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
1.0,1.0,1.0,4.0,1.0,64.0,24.25,0.0,24.25,3.513578048,7.660862438400001
8.0,1.0,1.0,128.0,4.0,64.0,205.0,1.024,206.024,1.3455781359999999,42.0764625088
8.0,1.0,1.0,16.0,1.0,64.0,92.25,0.0,92.25,1.61723316,19.743786528
16.0,16.0,8.0,128.0,8.0,128.0,418.0,1.28,419.28,1.010544624,84.40843569920001
4.0,4.0,8.0,512.0,2.0,16.0,608.5,34.816,643.316,1.026412728,122.5211301824
16.0,16.0,1.0,512.0,2.0,16.0,772.5,32.768,805.268,1.031405608,155.3251244864
8.0,8.0,4.0,1024.0,4.0,32.0,1169.0,20.48,1189.48,1.011550304,234.60924024320002
16.0,16.0,1.0,128.0,4.0,16.0,389.0,4.096,393.096,1.087082568,78.66966605440001
4.0,32.0,2.0,512.0,2.0,128.0,808.5,8.704,817.204,1.003721344,162.50297707520002
1.0,1.0,1.0,1024.0,1.0,32.0,1044.25,0.0,1044.25,1.515869088,210.0626952704
64.0,64.0,8.0,128.0,2.0,128.0,1184.5,5.12,1189.62,1.007950048,237.7063600384
8.0,1.0,1.0,16.0,1.0,32.0,92.25,0.0,92.25,1.567572024,19.7040576192
1.0,8.0,4.0,1024.0,4.0,64.0,1113.0,9.344000000000001,1122.344,1.275880152,223.62070412160003
4.0,4.0,8.0,8.0,8.0,16.0,106.0,2.176,108.176,1.406116728,22.324893382400003
128.0,8.0,1.0,1024.0,1.0,32.0,2116.25,0.0,2116.25,1.032183536,424.0757468288
16.0,16.0,2.0,512.0,8.0,16.0,778.0,40.96,818.96,1.020042288,156.4160338304
4.0,32.0,2.0,512.0,8.0,16.0,810.0,45.056000000000004,855.056,1.020594512,162.8164756096
2.0,2.0,8.0,8.0,2.0,16.0,72.5,1.536,74.036,1.6480012400000001,15.818400992
32.0,32.0,8.0,512.0,2.0,128.0,1056.5,6.144,1062.644,1.002584144,212.1020673152
4.0,32.0,8.0,512.0,8.0,16.0,834.0,17.408,851.408,1.020670104,167.6165360832
64.0,16.0,2.0,512.0,8.0,128.0,1162.0,11.264,1173.264,1.007336696,233.2058693568
64.0,64.0,8.0,512.0,2.0,128.0,1568.5,8.192,1576.692,1.002108264,314.50168661120006
2.0,4.0,8.0,512.0,2.0,128.0,592.5,4.288,596.788,1.032456512,119.3259652096
16.0,16.0,2.0,256.0,2.0,16.0,520.5,49.152,569.652,1.020684848,104.91654787840001
32.0,4.0,2.0,512.0,2.0,128.0,808.5,8.704,817.204,1.052778008,162.54222240640001
4.0,32.0,2.0,512.0,2.0,16.0,808.5,69.632,878.1320000000001,1.020802192,162.51664175360003
16.0,64.0,2.0,512.0,8.0,128.0,1162.0,11.264,1173.264,1.002112512,233.20169000960001
1.0,1.0,4.0,4.0,4.0,64.0,37.0,0.28800000000000003,37.288,2.238884336,9.1911074688
2.0,2.0,8.0,8.0,8.0,16.0,74.0,1.1520000000000001,75.152,1.6288735600000002,16.103098848000002
16.0,16.0,1.0,1024.0,8.0,16.0,1286.0,16.384,1302.384,1.029846888,258.0238775104
2.0,32.0,8.0,512.0,8.0,16.0,818.0,16.896,834.896,1.20990404,164.56792323200003
16.0,64.0,8.0,128.0,2.0,128.0,800.5,3.584,804.084,1.0082354,160.90658832000003
2.0,2.0,8.0,512.0,2.0,128.0,576.5,4.224,580.724,1.055731312,116.14458504960001
16.0,16.0,2.0,128.0,8.0,16.0,394.0,34.816,428.81600000000003,1.070627888,79.65650231040001
2.0,32.0,2.0,512.0,2.0,128.0,792.5,8.448,800.948,1.023125632,159.3185005056
16.0,16.0,4.0,64.0,8.0,16.0,338.0,17.408,355.408,1.220157224,68.57612577920001
2.0,32.0,8.0,512.0,2.0,16.0,816.5,41.472,857.972,1.21024708,164.268197664
1.0,1.0,4.0,16.0,4.0,64.0,49.0,0.384,49.384,1.464846576,10.971877260800001
1.0,1.0,1.0,1024.0,4.0,32.0,1045.0,16.384,1061.384,1.5158462080000001,210.2126769664
2.0,4.0,2.0,512.0,8.0,16.0,570.0,14.336,584.336,1.182398168,114.9459185344
4.0,4.0,8.0,8.0,8.0,128.0,106.0,0.272,106.272,1.062297944,22.049838355200002
16.0,16.0,4.0,1024.0,2.0,16.0,1296.5,81.92,1378.42,1.019601864,260.1156814912
16.0,16.0,4.0,1024.0,4.0,16.0,1297.0,49.152,1346.152,1.019601064,260.21568085120003
2.0,2.0,2.0,8.0,8.0,128.0,50.0,0.528,50.528,1.218269128,10.9746153024
2.0,2.0,2.0,8.0,2.0,128.0,48.5,0.5760000000000001,49.076,1.3117033679999999,10.7493626944
16.0,16.0,4.0,128.0,4.0,16.0,401.0,20.48,421.48,1.065689064,81.0525512512
32.0,2.0,8.0,512.0,8.0,128.0,818.0,2.112,820.112,1.029707648,164.4237661184
1.0,8.0,1.0,1024.0,4.0,64.0,1101.0,8.192,1109.192,1.183563424,221.1468507392
4.0,2.0,2.0,8.0,2.0,16.0,64.5,6.656000000000001,71.156,1.464306176,14.071444940800001
1.0,1.0,1.0,4.0,1.0,32.0,24.25,0.0,24.25,3.447436536,7.607949228800001
64.0,16.0,2.0,128.0,2.0,128.0,776.5,11.264,787.764,1.017655336,156.1141242688
16.0,16.0,8.0,512.0,2.0,128.0,800.5,5.12,805.62,1.002682,160.9021456
16.0,16.0,2.0,1024.0,4.0,16.0,1289.0,65.536,1354.536,1.020042288,258.6160338304
16.0,16.0,2.0,64.0,2.0,512.0,328.5,1.1520000000000001,329.652,1.02193044,66.517544352
8.0,8.0,1.0,16.0,1.0,32.0,148.25,0.0,148.25,1.292531728,30.6840253824
1.0,1.0,1.0,128.0,4.0,32.0,149.0,2.048,151.048,1.565405248,31.0523241984
2.0,2.0,2.0,8.0,8.0,16.0,50.0,4.224,54.224000000000004,1.617472016,11.2939776128
16.0,16.0,2.0,64.0,2.0,128.0,328.5,4.6080000000000005,333.108,1.037117304,66.52969384320001
16.0,16.0,1.0,1024.0,2.0,16.0,1284.5,65.536,1350.036,1.029969608,257.7239756864
16.0,16.0,2.0,1024.0,8.0,16.0,1290.0,49.152,1339.152,1.020042288,258.8160338304
32.0,4.0,8.0,512.0,2.0,128.0,832.5,5.248,837.748,1.006419096,167.3051352768
