l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
32.0,2.0,8.0,512.0,8.0,16.0,818.0,16.896,834.896,5.578585968,168.06286877440002
2.0,4.0,2.0,8.0,2.0,128.0,64.5,0.8320000000000001,65.332,1.717443104,14.2739544832
2.0,2.0,2.0,512.0,2.0,16.0,552.5,36.864000000000004,589.364,5.59815756,114.978526048
8.0,1.0,1.0,128.0,4.0,32.0,205.0,2.048,207.048,4.179721832,44.3437774656
1.0,1.0,4.0,128.0,4.0,64.0,161.0,1.28,162.28,2.203483448,33.9627867584
16.0,16.0,2.0,64.0,2.0,128.0,328.5,4.6080000000000005,333.108,1.6393919347212162,67.01151354777697
4.0,32.0,8.0,512.0,8.0,16.0,834.0,17.408,851.408,5.578230216,171.26258417280002
4.0,2.0,2.0,8.0,8.0,16.0,66.0,6.272,72.272,5.605653336,17.6845226688
32.0,4.0,2.0,512.0,8.0,16.0,810.0,45.056000000000004,855.056,5.588359328,166.4706874624
1.0,8.0,4.0,128.0,1.0,64.0,216.25,1.1520000000000001,217.402,2.20351104,45.012808832
16.0,16.0,2.0,256.0,1.0,16.0,520.25,32.768,553.018,16.18725274725275,116.99980219780221
16.0,16.0,8.0,512.0,8.0,128.0,802.0,2.048,804.048,1.6386377667227245,161.71091021337818
16.0,16.0,8.0,64.0,2.0,512.0,352.5,0.384,352.884,1.1673612956652775,71.43388903653222
16.0,16.0,4.0,64.0,8.0,16.0,338.0,17.408,355.408,5.583112264,72.06648981120001
32.0,2.0,2.0,512.0,2.0,128.0,792.5,8.448,800.948,1.7944795839999998,159.9355836672
16.0,16.0,4.0,128.0,4.0,16.0,401.0,20.48,421.48,16.176703296703295,93.14136263736265
1.0,8.0,4.0,16.0,1.0,32.0,104.25,2.3040000000000003,106.554,3.33236784,23.515894272
32.0,2.0,2.0,512.0,8.0,16.0,794.0,43.008,837.008,5.598135272,163.2785082176
16.0,16.0,2.0,512.0,2.0,16.0,776.5,65.536,842.0360000000001,16.18725274725275,168.2498021978022
8.0,1.0,4.0,1024.0,4.0,32.0,1113.0,18.688000000000002,1131.688,3.32687908,225.26150326400003
16.0,16.0,2.0,64.0,8.0,16.0,330.0,33.792,363.79200000000003,5.58310804,70.466486432
2.0,2.0,8.0,8.0,2.0,16.0,72.5,1.536,74.036,5.5846868,18.96774944
16.0,16.0,1.0,256.0,1.0,16.0,516.25,0.0,516.25,16.2021978021978,116.21175824175825
64.0,16.0,2.0,128.0,8.0,128.0,778.0,10.496,788.496,1.6393308627213383,156.9114646901771
1.0,1.0,4.0,128.0,1.0,32.0,160.25,0.512,160.762,3.330452568,34.714362054400006
16.0,16.0,1.0,512.0,1.0,16.0,772.25,0.0,772.25,16.2021978021978,167.41175824175826
16.0,16.0,2.0,128.0,2.0,16.0,392.5,40.96,433.46,16.18725274725275,91.4498021978022
2.0,2.0,8.0,8.0,8.0,128.0,74.0,0.14400000000000002,74.144,1.639548208,16.1116385664
64.0,16.0,8.0,512.0,2.0,128.0,1184.5,6.656000000000001,1191.156,1.6388339027223322,238.21106712217787
16.0,16.0,2.0,256.0,8.0,16.0,522.0,36.864000000000004,558.864,5.57826052,108.862608416
16.0,16.0,1.0,128.0,1.0,16.0,388.25,0.0,388.25,16.21098901098901,90.61879120879121
8.0,8.0,4.0,128.0,1.0,32.0,272.25,4.096,276.346,3.330407312,57.1143258496
16.0,16.0,2.0,64.0,1.0,16.0,328.25,32.768,361.01800000000003,16.213626373626376,78.6209010989011
1.0,1.0,4.0,4.0,4.0,32.0,37.0,0.5760000000000001,37.576,3.333294008,10.0666352064
16.0,16.0,2.0,1024.0,1.0,16.0,1288.25,32.768,1321.018,16.18725274725275,270.5998021978022
32.0,32.0,8.0,512.0,2.0,16.0,1056.5,49.152,1105.652,5.578226512,215.7625812096
16.0,16.0,2.0,512.0,2.0,128.0,776.5,8.192,784.692,1.6388503347222994,156.61108026777785
16.0,16.0,1.0,512.0,4.0,16.0,773.0,16.384,789.384,16.2021978021978,167.56175824175827
1.0,8.0,1.0,1024.0,4.0,64.0,1101.0,8.192,1109.192,2.2145800639999997,221.9716640512
1.0,1.0,4.0,1024.0,1.0,32.0,1056.25,0.512,1056.762,3.327488888,213.9119911104
1.0,8.0,1.0,128.0,1.0,32.0,204.25,0.0,204.25,3.339645048,43.5217160384
4.0,4.0,8.0,512.0,8.0,16.0,610.0,10.24,620.24,5.578592608,126.4628740864
16.0,16.0,4.0,256.0,4.0,16.0,529.0,24.576,553.576,16.176703296703295,118.74136263736264
16.0,16.0,2.0,64.0,2.0,16.0,328.5,36.864000000000004,365.36400000000003,16.18725274725275,78.6498021978022
2.0,32.0,2.0,512.0,8.0,16.0,794.0,43.008,837.008,5.578243264,163.2625946112
16.0,16.0,4.0,1024.0,4.0,16.0,1297.0,49.152,1346.152,16.176703296703295,272.3413626373627
64.0,64.0,8.0,128.0,2.0,128.0,1184.5,5.12,1189.62,1.6393403987213193,238.21147231897706
4.0,4.0,8.0,8.0,8.0,16.0,106.0,2.176,108.176,5.584848928,25.667879142400004
8.0,8.0,4.0,1024.0,1.0,32.0,1168.25,4.096,1172.346,3.327461552,236.3119692416
16.0,16.0,1.0,1024.0,2.0,16.0,1284.5,65.536,1350.036,16.2021978021978,269.86175824175825
2.0,2.0,2.0,512.0,8.0,16.0,554.0,12.288,566.288,5.59815756,115.27852604800002
16.0,64.0,2.0,512.0,2.0,128.0,1160.5,14.336,1174.836,1.6388556387222888,233.41108451097784
2.0,2.0,8.0,512.0,2.0,16.0,576.5,33.792,610.292,5.57859928,119.762879424
