l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
2.0,2.0,8.0,8.0,2.0,16.0,72.5,1.536,74.036,6.771983232,19.9175865856
8.0,1.0,1.0,16.0,4.0,32.0,93.0,0.256,93.256,4.914758888,22.531807110400003
64.0,64.0,8.0,128.0,8.0,128.0,1186.0,4.352,1190.352,2.49067888,239.192543104
4.0,4.0,8.0,8.0,8.0,16.0,106.0,2.176,108.176,5.312650664,25.450120531200003
2.0,32.0,8.0,512.0,8.0,128.0,818.0,2.112,820.112,1.946394864,165.15711589120002
1.0,1.0,4.0,16.0,4.0,32.0,49.0,0.768,49.768,5.208164512,13.9665316096
8.0,1.0,1.0,16.0,1.0,32.0,92.25,0.0,92.25,5.457591688,22.8160733504
64.0,64.0,8.0,512.0,8.0,128.0,1570.0,5.12,1575.12,1.82659232,315.461273856
128.0,128.0,4.0,1024.0,4.0,32.0,3089.0,81.92,3170.92,2.661771872,619.9294174976001
16.0,16.0,2.0,64.0,8.0,16.0,330.0,33.792,363.79200000000003,3.434184776,68.7473478208
4.0,4.0,2.0,512.0,8.0,16.0,586.0,16.384,602.384,3.176699648,119.7413597184
2.0,2.0,2.0,8.0,2.0,16.0,48.5,4.6080000000000005,53.108000000000004,6.9618344,15.269467520000001
4.0,2.0,8.0,512.0,8.0,16.0,594.0,9.728,603.728,3.142316152,121.31385292160002
16.0,16.0,2.0,1024.0,1.0,16.0,1288.25,32.768,1321.018,2.797444136,259.88795530880003
16.0,16.0,1.0,128.0,2.0,16.0,388.5,8.192,396.692,3.316407384,80.35312590720001
16.0,16.0,2.0,256.0,4.0,16.0,521.0,40.96,561.96,3.079340456,106.6634723648
16.0,16.0,2.0,512.0,2.0,16.0,776.5,65.536,842.0360000000001,2.957870856,157.66629668480002
32.0,2.0,8.0,512.0,8.0,16.0,818.0,16.896,834.896,2.997625304,165.9981002432
16.0,16.0,1.0,256.0,1.0,16.0,516.25,0.0,516.25,3.257965624,105.8563724992
