l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
4.0,4.0,8.0,8.0,8.0,16.0,106.0,2.176,108.176,2.659099444681801,23.327279555745445
2.0,2.0,8.0,8.0,8.0,16.0,74.0,1.1520000000000001,75.152,2.6776071566447857,16.942085725315827
1.0,128.0,4.0,1024.0,4.0,64.0,2073.0,24.704,2097.704,1.0029867679940265,415.40238941439526
8.0,8.0,1.0,128.0,4.0,64.0,261.0,1.024,262.024,1.0892726878214547,53.071418150257166
16.0,16.0,4.0,1024.0,1.0,16.0,1296.25,16.384,1312.634,1.009108824,260.0572870592
16.0,16.0,1.0,128.0,2.0,16.0,388.5,8.192,396.692,1.009943016,78.5079544128
16.0,64.0,8.0,128.0,8.0,128.0,802.0,2.816,804.816,1.0001085679997828,161.20008685439984
16.0,16.0,8.0,512.0,8.0,128.0,802.0,2.048,804.048,1.0097363439805274,161.20778907518442
2.0,32.0,8.0,512.0,2.0,16.0,816.5,41.472,857.972,1.0048387359903226,164.10387098879227
2.0,4.0,2.0,512.0,8.0,128.0,570.0,1.792,571.792,1.0626345518747309,114.85010764149979
8.0,1.0,1.0,1024.0,4.0,32.0,1101.0,16.384,1117.384,1.1779656476440687,221.14237251811528
16.0,16.0,1.0,1024.0,2.0,16.0,1284.5,65.536,1350.036,1.009943016,257.7079544128
8.0,8.0,1.0,16.0,4.0,32.0,149.0,0.256,149.256,1.2462808075074383,30.79702464600595
1.0,128.0,1.0,1024.0,4.0,64.0,2061.0,8.192,2069.192,1.0028333599943333,413.00226668799553
64.0,16.0,2.0,128.0,2.0,128.0,776.5,11.264,787.764,1.0044703519910594,156.10357628159286
16.0,16.0,4.0,256.0,4.0,16.0,529.0,24.576,553.576,1.009108824,106.6072870592
16.0,16.0,1.0,256.0,2.0,16.0,516.5,16.384,532.884,1.009943016,104.10795441280001
2.0,2.0,8.0,8.0,2.0,128.0,72.5,0.192,72.692,1.8271982703456033,15.961758616276484
16.0,16.0,1.0,64.0,2.0,16.0,324.5,4.096,328.596,1.010469256,65.70837540480001
128.0,128.0,1.0,1024.0,1.0,32.0,3076.25,0.0,3076.25,1.0003231519993536,616.0502585215995
16.0,64.0,8.0,512.0,2.0,128.0,1184.5,6.656000000000001,1191.156,1.0001085679997828,237.70008685439984
1.0,8.0,1.0,16.0,4.0,32.0,93.0,0.256,93.256,1.2687001834625997,19.61496014677008
16.0,16.0,8.0,512.0,2.0,512.0,800.5,1.28,801.78,1.0093099359813802,160.90744794878512
2.0,4.0,8.0,8.0,2.0,16.0,88.5,2.048,90.548,2.6535027806929943,19.822802224554394
128.0,8.0,4.0,1024.0,1.0,32.0,2128.25,34.816,2163.066,1.0644140958711719,426.501531276697
1.0,1.0,4.0,1024.0,4.0,64.0,1057.0,8.448,1065.448,1.0622272318755455,212.24978178550043
2.0,2.0,8.0,8.0,8.0,128.0,74.0,0.14400000000000002,74.144,1.834924510330151,16.267939608264122
64.0,64.0,2.0,512.0,8.0,128.0,1546.0,17.408,1563.408,1.0001082399997836,310.0000865919999
8.0,1.0,4.0,16.0,1.0,64.0,104.25,1.1520000000000001,105.402,1.0982957038034087,21.728636563042727
2.0,2.0,8.0,512.0,8.0,16.0,578.0,9.216000000000001,587.216,1.0834975598330048,116.46679804786642
1.0,1.0,1.0,128.0,4.0,32.0,149.0,2.048,151.048,1.1798523836402952,30.743881906912236
4.0,2.0,2.0,512.0,2.0,128.0,568.5,4.864,573.364,1.0789046238421907,114.56312369907376
