l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
16.0,16.0,2.0,256.0,8.0,16.0,522.0,36.864000000000004,558.864,6.698615832,109.7588926656
4.0,32.0,8.0,512.0,8.0,16.0,834.0,17.408,851.408,6.85943224,172.287545792
2.0,4.0,8.0,8.0,2.0,128.0,88.5,0.256,88.756,3.967600464,20.8740803712
1.0,8.0,1.0,128.0,4.0,32.0,205.0,2.048,207.048,4.1864459919999994,44.3491567936
8.0,128.0,1.0,1024.0,1.0,32.0,2116.25,0.0,2116.25,3.938933344,426.4011466752
16.0,16.0,2.0,512.0,8.0,16.0,778.0,40.96,818.96,6.696404952,160.95712396160002
8.0,8.0,1.0,1024.0,1.0,32.0,1156.25,0.0,1156.25,3.981100344,234.4348802752
2.0,32.0,2.0,512.0,8.0,16.0,794.0,43.008,837.008,7.002684568,164.4021476544
8.0,8.0,4.0,1024.0,4.0,32.0,1169.0,20.48,1189.48,3.94013792,236.952110336
4.0,2.0,2.0,512.0,8.0,128.0,570.0,1.792,571.792,1.931305608,115.5450444864
16.0,16.0,2.0,128.0,2.0,16.0,392.5,40.96,433.46,6.735963512,83.8887708096
32.0,4.0,8.0,512.0,8.0,16.0,834.0,17.408,851.408,6.637811832,172.11024946560002
16.0,16.0,1.0,512.0,1.0,16.0,772.25,0.0,772.25,6.759714208,159.85777136640002
16.0,16.0,8.0,128.0,2.0,128.0,416.5,2.048,418.548,1.807361632,84.74588930560002
32.0,32.0,2.0,512.0,2.0,16.0,1032.5,98.304,1130.804,6.625192168,211.8001537344
8.0,128.0,1.0,1024.0,4.0,32.0,2117.0,16.384,2133.384,3.936653984,426.54932318720006
8.0,1.0,4.0,1024.0,1.0,32.0,1112.25,2.3040000000000003,1114.554,4.068050832,225.7044406656
1.0,8.0,1.0,1024.0,4.0,32.0,1101.0,16.384,1117.384,4.172264392000001,223.53781151360002
1.0,1.0,1.0,1024.0,1.0,32.0,1044.25,0.0,1044.25,4.362351192,212.33988095360002
64.0,16.0,2.0,512.0,2.0,128.0,1160.5,14.336,1174.836,1.735483728,233.48838698240002
16.0,16.0,1.0,128.0,4.0,16.0,389.0,4.096,393.096,6.764280608,83.2114244864
4.0,2.0,2.0,512.0,2.0,16.0,568.5,38.912,607.412,6.992861376,119.2942891008
1.0,1.0,8.0,2.0,16.0,128.0,54.0,0.066,54.066,1.76748,12.213984
4.0,4.0,2.0,512.0,8.0,16.0,586.0,16.384,602.384,6.944504928,122.7556039424
16.0,64.0,8.0,512.0,2.0,128.0,1184.5,6.656000000000001,1191.156,1.747794752,238.29823580160001
2.0,32.0,8.0,512.0,2.0,128.0,816.5,5.184,821.684,1.818182056,164.7545456448
16.0,16.0,2.0,1024.0,2.0,16.0,1288.5,98.304,1386.804,6.695617272,263.05649381759997
2.0,2.0,2.0,8.0,2.0,128.0,48.5,0.5760000000000001,49.076,4.5761383680000005,13.360910694400001
16.0,16.0,2.0,128.0,2.0,128.0,392.5,5.12,397.62,1.826156672,79.9609253376
2.0,4.0,2.0,512.0,8.0,128.0,570.0,1.792,571.792,1.897866104,115.5182928832
